ordinal,id,location,euro,surface,compartiment,link
0,X9T700022,borhanci,97200,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X9T700022?lista=141495822
1,X4V300019,borhanci,101500,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X4V300019?lista=141495822
2,X8SC1002G,borhanci,93174,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X8SC1002G?lista=141495822
3,X5NQ1000M,borhanci,85000,100,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X5NQ1000M?lista=141495822
4,X9E00000D,borhanci,100150,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X9E00000D?lista=141495822
5,X54N00045,borhanci,92187,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X54N00045?lista=141495822
6,X8SC1002E,borhanci,101874,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X8SC1002E?lista=141495822
7,X54N0001T,borhanci,101000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X54N0001T?lista=141495822
8,X8M2100F6,borhanci,105120,83,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X8M2100F6?lista=141495822
9,X93B10017,borhanci,101500,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X93B10017?lista=141495822
