ordinal,id,location,euro,surface,compartiment,link
0,X6MU1000R,manastur,83200,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X6MU1000R?lista=141495822
1,X82S1001B,manastur,99900,90,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X82S1001B?lista=141495822
2,XV0G00KPL,manastur,78000,85,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0G00KPL?lista=141495822
3,X7F91000V,manastur,93400,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7F91000V?lista=141495822
4,X4NB100B3,manastur,80000,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X4NB100B3?lista=141495822
5,X8SC1000J,manastur,83000,78,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8SC1000J?lista=141495822
6,X8CH10007,manastur,110000,80,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8CH10007?lista=141495822
7,X3SH1034R,manastur,94900,92,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X3SH1034R?lista=141495822
8,X9PN10021,manastur,92600,98,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PN10021?lista=141495822
9,X7KQ1001T,manastur,98000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7KQ1001T?lista=141495822
10,X46K103EA,manastur,108000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X46K103EA?lista=141495822
11,X9E000007,manastur,94000,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9E000007?lista=141495822
