ordinal,id,location,euro,surface,compartiment,link
0,X9T700022,borhanci,97200,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X9T700022?lista=141495822
1,XV0C007B9,marasti,84000,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XV0C007B9?lista=141495822
2,X67100061,buna ziua,95900,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X67100061?lista=141495822
3,X93B1000B,central,89800,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1000B?lista=141495822
4,X6MU1000R,manastur,83200,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X6MU1000R?lista=141495822
5,X82S1001B,manastur,99900,90,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X82S1001B?lista=141495822
6,XAVK00009,vest,89800,81,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/vest/apartament-de-vanzare-3-camere-XAVK00009?lista=141495822
7,XANP00011,marasti,91207,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00011?lista=141495822
8,XANP00005,marasti,86767,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00005?lista=141495822
9,XV0G00KPL,manastur,78000,85,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0G00KPL?lista=141495822
10,XV0G00O3D,andrei muresanu,107640,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-XV0G00O3D?lista=141495822
11,X7F91000V,manastur,93400,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7F91000V?lista=141495822
