ordinal,id,location,euro,surface,compartiment,link
0,X67100061,buna ziua,95900,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X67100061?lista=141495822
1,X7KQ100EE,buna ziua,109000,85,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7KQ100EE?lista=141495822
2,XAHI1003U,buna ziua,110000,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-XAHI1003U?lista=141495822
3,X8BO1000T,buna ziua,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8BO1000T?lista=141495822
4,X7F91003I,buna ziua,109900,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F91003I?lista=141495822
5,X6710004M,buna ziua,89900,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710004M?lista=141495822
6,X6710003S,buna ziua,103000,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710003S?lista=141495822
7,X4I710002,buna ziua,109000,78,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X4I710002?lista=141495822
8,X671000A3,buna ziua,90359,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000A3?lista=141495822
9,X7KQ100FS,buna ziua,103000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7KQ100FS?lista=141495822
10,X8QD10009,buna ziua,104000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8QD10009?lista=141495822
11,X7F91006E,buna ziua,109900,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F91006E?lista=141495822
12,X6710006H,buna ziua,99800,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710006H?lista=141495822
13,X5ET10028,buna ziua,109000,78,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X5ET10028?lista=141495822
14,X4I71009J,buna ziua,95900,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X4I71009J?lista=141495822
15,X8MD1003F,buna ziua,96500,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8MD1003F?lista=141495822
16,X93B1002D,buna ziua,106500,84,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B1002D?lista=141495822
17,X7KQ100CG,buna ziua,95900,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7KQ100CG?lista=141495822
18,X6710005D,buna ziua,85900,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710005D?lista=141495822
19,X6710006E,buna ziua,99800,81,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710006E?lista=141495822
20,X46K1036H,buna ziua,107640,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X46K1036H?lista=141495822
21,X671000B7,buna ziua,95900,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000B7?lista=141495822
22,X93B10011,buna ziua,109000,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B10011?lista=141495822
23,X8BO1000E,buna ziua,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8BO1000E?lista=141495822
24,X671000C4,buna ziua,89000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000C4?lista=141495822
25,X6710009U,buna ziua,90000,72,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710009U?lista=141495822
26,X671000A7,buna ziua,95900,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000A7?lista=141495822
27,X46K1051G,buna ziua,91580,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X46K1051G?lista=141495822
28,X8SC1001O,buna ziua,95900,76,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8SC1001O?lista=141495822
29,X93B1000G,buna ziua,87150,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B1000G?lista=141495822
30,X3SH100AQ,buna ziua,103000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X3SH100AQ?lista=141495822
31,X93B1003F,buna ziua,95900,77,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B1003F?lista=141495822
