ordinal,id,location,euro,surface,compartiment,link
0,X93B1000B,central,89800,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1000B?lista=141495822
1,X3SH103D3,central,108825,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X3SH103D3?lista=141495822
2,XA7E00004,central,107700,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-XA7E00004?lista=141495822
3,XA7E0000Q,central,96600,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-XA7E0000Q?lista=141495822
4,X7KQ1009L,central,99190,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X7KQ1009L?lista=141495822
5,X57Q10035,central,106223,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X57Q10035?lista=141495822
6,X1KA101PN,central,105415,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X1KA101PN?lista=141495822
7,X8SC10036,central,104673,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC10036?lista=141495822
8,X7JK0002E,central,109300,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X7JK0002E?lista=141495822
9,X93B1008M,central,109700,73,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1008M?lista=141495822
10,X8SC1007C,central,100800,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC1007C?lista=141495822
11,X93B1006V,central,107500,70,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1006V?lista=141495822
12,X8SC10037,central,106223,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC10037?lista=141495822
13,X57Q1003R,central,109175,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X57Q1003R?lista=141495822
