ordinal,id,location,euro,surface,compartiment,link
0,X1KA101PJ,gheorgheni,110000,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA101PJ?lista=141495822
1,X93B1002S,gheorgheni,95544,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X93B1002S?lista=141495822
2,X9CH1007L,gheorgheni,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9CH1007L?lista=141495822
3,X93B1002M,gheorgheni,96237,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X93B1002M?lista=141495822
4,X46K103CM,gheorgheni,110000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X46K103CM?lista=141495822
5,X8MD10059,gheorgheni,110000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X8MD10059?lista=141495822
6,X70L00009,gheorgheni,109000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X70L00009?lista=141495822
7,X1KA100AT,gheorgheni,109000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA100AT?lista=141495822
8,X1KA100J1,gheorgheni,101500,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA100J1?lista=141495822
9,X9T700025,gheorgheni,100300,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9T700025?lista=141495822
10,X7JK0003U,gheorgheni,99900,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X7JK0003U?lista=141495822
11,XAON10018,gheorgheni,109000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-XAON10018?lista=141495822
