ordinal,id,location,euro,surface,compartiment,link
0,XV0C007B9,marasti,84000,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XV0C007B9?lista=141495822
1,XANP00011,marasti,91207,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00011?lista=141495822
2,XANP00005,marasti,86767,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00005?lista=141495822
3,X4NB100AT,marasti,86000,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4NB100AT?lista=141495822
4,X9LN10013,marasti,93000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9LN10013?lista=141495822
5,XANP00004,marasti,89458,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00004?lista=141495822
6,X57Q1008K,marasti,106000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X57Q1008K?lista=141495822
7,XANP0000I,marasti,97977,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP0000I?lista=141495822
8,X54N0003O,marasti,90033,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X54N0003O?lista=141495822
9,X93B1005N,marasti,92000,80,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B1005N?lista=141495822
10,XANP00009,marasti,96708,79,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00009?lista=141495822
11,X1KA100MQ,marasti,92638,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA100MQ?lista=141495822
12,X01V100AO,marasti,93000,80,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X01V100AO?lista=141495822
13,X4NB100AV,marasti,82340,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4NB100AV?lista=141495822
14,X93B1000V,marasti,99900,87,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B1000V?lista=141495822
15,X9PN10011,marasti,110000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9PN10011?lista=141495822
16,X5ET1001P,marasti,108000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5ET1001P?lista=141495822
17,X4I710003,marasti,93529,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I710003?lista=141495822
18,X1KA101EA,marasti,85721,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA101EA?lista=141495822
19,X46K100CD,marasti,106000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K100CD?lista=141495822
20,X7KQ1000P,marasti,102000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X7KQ1000P?lista=141495822
21,X01V1004N,marasti,92000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X01V1004N?lista=141495822
22,X4I71001H,marasti,106000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I71001H?lista=141495822
23,XARL1000J,marasti,96500,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XARL1000J?lista=141495822
24,X5TR1000L,marasti,93000,83,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5TR1000L?lista=141495822
25,X7P11004M,marasti,85750,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X7P11004M?lista=141495822
26,X8F50008G,marasti,110000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8F50008G?lista=141495822
27,X01V1002C,marasti,106000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X01V1002C?lista=141495822
28,X5NQ1000G,marasti,86300,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5NQ1000G?lista=141495822
29,XAT000013,marasti,95103,77,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XAT000013?lista=141495822
30,X46K1033U,marasti,109000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K1033U?lista=141495822
31,X8SC10031,marasti,85560,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC10031?lista=141495822
32,X1KA1004U,marasti,107000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA1004U?lista=141495822
33,X8JT10021,marasti,108000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8JT10021?lista=141495822
34,XAMQ0000Q,marasti,94000,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XAMQ0000Q?lista=141495822
35,X4I7100BS,marasti,90007,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I7100BS?lista=141495822
36,X9E00000O,marasti,85721,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9E00000O?lista=141495822
37,X5NQ1003V,marasti,81650,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5NQ1003V?lista=141495822
38,X8SC10030,marasti,105000,87,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC10030?lista=141495822
39,X93B1005O,marasti,85445,74,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B1005O?lista=141495822
40,XA0R0000E,marasti,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XA0R0000E?lista=141495822
41,X9ND1007T,marasti,97800,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9ND1007T?lista=141495822
