id,surface,euro,location,link
X1KA100BJ,100,119900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-5-camere-X1KA100BJ?lista=141346768
X1KA1011H,100,115000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA1011H?lista=141346768
X4I710044,100,115000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X4I710044?lista=141346768
X54N000AB,100,115000,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X54N000AB?lista=141346768
X5NQ1000M,100,85000,borhanci,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X5NQ1000M?lista=141346768
X8MD1002C,100,115000,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X8MD1002C?lista=141346768
X9PL1005N,100,115000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PL1005N?lista=141346768
X9CH1002C,101,113000,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X9CH1002C?lista=141346768
X7JK0002P,102,109000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X7JK0002P?lista=141346768
X9PI100DB,104,115000,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-5-camere-X9PI100DB?lista=141346768
X9PL10060,104,89900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PL10060?lista=141346768
X01V1001I,105,92500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X01V1001I?lista=141346768
