id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
XARL1005S,3,96,3,3,decomandat,0,105000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XARL1005S?lista=141346768
X36D10054,3,98,3,3,semidecomandat,-1,89000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X36D10054?lista=141346768
XAK300004,3,79,6,6,semidecomandat,-1,105000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XAK300004?lista=141346768
X4I71001U,3,63,4,8,decomandat,-1,97000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4I71001U?lista=141346768
X9T700022,3,73,1,2,decomandat,0,97200,borhanci,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X9T700022?lista=141346768
X7F9100A9,3,69,1,4,semidecomandat,0,91900,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F9100A9?lista=141346768
XV0G00BM9,3,68,10,10,decomandat,-1,74800,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0G00BM9?lista=141346768
X9CH1001E,3,77,4,4,semidecomandat,0,79500,iris,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/iris/apartament-de-vanzare-3-camere-X9CH1001E?lista=141346768
X9PN1003B,3,72,3,5,semidecomandat,0,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X9PN1003B?lista=141346768
XASI1000F,3,66,8,9,semidecomandat,-1,118500,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-XASI1000F?lista=141346768
X82S1001B,3,90,2,3,decomandat,-1,99900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X82S1001B?lista=141346768
X8BO1002P,3,62,3,6,semidecomandat,0,74000,dambul rotund,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8BO1002P?lista=141346768
XASI10002,3,65,5,6,decomandat,-1,119900,aurel vlaicu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/aurel-vlaicu/apartament-de-vanzare-3-camere-XASI10002?lista=141346768
X36D1006F,3,67,7,7,decomandat,0,83700,calea turzii,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/calea-turzii/apartament-de-vanzare-3-camere-X36D1006F?lista=141346768
X36D1005T,3,65,7,7,decomandat,0,85088,calea turzii,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/calea-turzii/apartament-de-vanzare-3-camere-X36D1005T?lista=141346768
X9PI10040,4,81,3,4,decomandat,-1,107500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X9PI10040?lista=141346768
X5ET10019,3,63,8,12,decomandat,0,120000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5ET10019?lista=141346768
XARL1006B,3,65,6,10,decomandat,-1,90000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XARL1006B?lista=141346768
X67100061,3,77,3,10,decomandat,0,95900,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X67100061?lista=141346768
X36D1003I,3,66,4,4,decomandat,-1,83900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X36D1003I?lista=141346768
X9PI10029,3,65,4,4,decomandat,-1,109000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X9PI10029?lista=141346768
X9PI100DH,3,66,1,4,decomandat,-1,96000,manastur,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PI100DH?lista=141346768
X6MU1000R,3,73,1,2,semidecomandat,0,83200,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X6MU1000R?lista=141346768
X4NB100B8,3,65,1,3,decomandat,0,73000,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X4NB100B8?lista=141346768
X9PL1009Q,3,70,3,5,semidecomandat,0,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X9PL1009Q?lista=141346768
XAON1002D,4,80,1,4,decomandat,-1,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-XAON1002D?lista=141346768
X82S10018,4,77,10,10,decomandat,-1,110900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X82S10018?lista=141346768
X9PI10030,4,70,7,10,decomandat,-1,95000,manastur,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X9PI10030?lista=141346768
XA5G1001D,3,86,1,3,semidecomandat,0,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-XA5G1001D?lista=141346768
X93B1000B,3,70,3,6,semidecomandat,0,89800,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X93B1000B?lista=141346768
X9O41000R,3,91,1,3,decomandat,-1,119000,andrei muresanu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X9O41000R?lista=141346768
X6MU1000Q,4,87,1,2,decomandat,0,98000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X6MU1000Q?lista=141346768
X36D1009B,3,65,2,4,semidecomandat,-1,109000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X36D1009B?lista=141346768
X79E10024,3,62,4,4,semidecomandat,-1,79800,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X79E10024?lista=141346768
X9PI10070,4,76,3,4,decomandat,-1,120000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-4-camere-X9PI10070?lista=141346768
